company_name,title,location,job_types,tags,is_remote
citema systems GmbH,Anwendungsentwickler (m/w/d) Qt/C++,Munich,[],['IT'],False
sera Gruppe,Werkstudent (M/W/D) - Produktmanagement,Immenhausen,['Working student'],['Engineering'],False
Moore TK,MANAGER:IN ESG ADVISORY (M/W/D),Berlin,[],['Finance'],False
univativ GmbH,Entwicklungsingenieur (m/w/d) Konstruktion HV-Thermomanagement / Bauraum,Mannheim,[],['Engineering'],False
Personalberatung Susan Lange,Steuerberater (m/w/d) in Voll- oder Teilzeit,Rostock,[],['Finance'],False
IONOS SE,Full Stack Developer (w/m/d),Karlsruhe,[],['Product Management'],False
Tiens,Customer Service Coordinator (m/f/d),Berlin,['professional / experienced'],['Customer Service'],False
Schreinerei Vogel,Schreiner (m/w/d),Frankfurt am Main,[],['Customer Service'],False
Personalberatung Susan Lange,Bilanzbuchhalter (m/w/d) in Voll- oder Teilzeit,Rostock,[],['Finance'],False
Eltako GmbH,Lead Developer für Embedded Systems (m/w/d),Fellbach,[],"['Embedded Systems', 'Firmware Development']",False
Personalberatung Susan Lange,Projektleiter (m/w/d) Baubetreuung,Rostock,[],['Engineering'],False
Vision4Quality GmbH,Teamleiter Softwareentwicklung,Würzburg,[],['Engineering'],False
Wavestone Germany AG,COBOL-Entwickler (m/w/d) (Ref.Nr.: 45645),Munich,"['Freelance', 'berufserfahren']","['Remote', 'IT']",True
MAOMAO Technologies,Buchhalterin auf Minijob-Basis (m/w/d) für unseren Online Asia Shop,Berlin,['Side'],['Finance'],False
Byrd GmbH,E-Commerce Brand & Content Manager (m/w/d) - Hybrid oder Remote,Landau,[],['Product Management'],False
TECOSIM GmbH,Software Entwicklungsingenieur (all genders),Frankfurt am Main,"['Full-time permanent', 'experienced']","['Engineering', 'high school coursework']",False
